연도,변동사유발생연월일,판매업종류,구분,업체명,소재지,위도,경도
2015,2015-01-02,주유소,휴업,(주)유림에너지 대기주유소,대구광역시 북구 팔달로41 (노원동3가),35.891235053202,128.554971879461
2015,2015-01-05,주유소,폐업,㈜소모석유 상무제일주유소,광주광역시 서구 상무시민로142 (치평동),,
2015,2015-01-05,주유소,휴업,활주로주유소,전라남도 나주시 산남로141 (산포면),35.0457421966951,126.828529282639
2015,2015-01-06,주유소,휴업,팔공산한마음주유소,대구광역시 동구 팔공산로283 (덕곡동),35.9914331403261,128.616401435237
2015,2015-01-06,주유소,휴업,태양주유소,부산광역시 부산진구 성지로60 (연지동),35.1760020623058,129.054944070991
2015,2015-01-06,주유소,휴업,몽촌주유소,서울특별시 송파구 백제고분로475 (방이동),37.5130167061201,127.11356586144
2015,2015-01-06,주유소,폐업,쇄노재주유소,전남 해남군 북평면 백도로 531,34.4471863380287,126.655261386953
2015,2015-01-06,주유소,휴업,삽교호주유소,충청남도 당진시 삽교천길88,,
2015,2015-01-07,주유소,휴업,드림(하나)주유소,경기도 고양시 일산서구 덕이로36 (덕이동),37.6898989461837,126.755397472907
2015,2015-01-07,주유소,휴업,남광석유판매㈜ 직영 중동주유소,경상남도 창원시 의창구 의안로27번길 19 (중동),35.2638646597982,128.621799980277
2015,2015-01-07,주유소,휴업,광남주유소,부산광역시 수영구 광남로83 (광안동),35.1496901814646,129.11366167136
2015,2015-01-07,주유소,휴업,남부안농민회주유소,전북 부안군 보안면 청자로 1518,35.6105306558508,126.654541336385
2015,2015-01-07,주유소,휴업,청산주유소,충청북도 옥천군 지전길8 (청산면),,
2015,2015-01-08,주유소,휴업,종합주유소,울산광역시 중구 북부순환도로784 (남외동),35.5747805985914,129.3398115149
2015,2015-01-09,주유소,휴업,세화주유소,경상북도 경주시 금성로336 (서부동),35.8475783819823,129.207215101916
2015,2015-01-12,주유소,휴업,SK네트웍스㈜ 옥천주유소,강원도 강릉시 율곡로2846 (옥천동),37.7580603194313,128.897389874019
2015,2015-01-12,주유소,폐업,세화주유소,경상북도 경주시 금성로336 (서부동),35.8475783819823,129.207215101916
2015,2015-01-12,주유소,폐업,해피데이주유소,광주광역시 서구 풍서우로94 (매월동),,
2015,2015-01-12,주유소,휴업,우리동네주유소,전라남도 광양시 제철로137 (광양읍),34.9529107722015,127.608806347136
2015,2015-01-12,주유소,폐업,만남의주유소,전라북도 군산시 월명로59 (옥산면),,
2015,2015-01-12,주유소,휴업,중앙주유소,충청북도 단양군 단양로 2727 (매포읍),37.0828643628244,128.270249099576
