field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y
2015,2015-01-02,주유소,휴업,(주)유림에너지 대기주유소,대구광역시 북구 팔달로41 (노원동3가),정,대구광역시 북구 팔달로 41 (노원동3가),2723010900106000000,128.55490277147442,35.89111883033429
2015,2015-01-05,주유소,신규등록,광나는 주유소,경기도 동두천시 평화로3059,정,경기도 동두천시 평화로 3059 (하봉암동),4125011000103120001,127.06289650810832,37.95986732589379
2015,2015-01-05,주유소,폐업,㈜소모석유 상무제일주유소,광주광역시 서구 상무시민로142 (치평동),유,광주광역시 서구 상무시민로 136 (치평동),2914012000112220000,126.85388384301028,35.15499935352939
2015,2015-01-05,주유소,휴업,활주로주유소,전라남도 나주시 산남로141 (산포면),정,전라남도 나주시 산남로 141 (산포면),4617040027109360013,126.82852944868897,35.045742518119134
2015,2015-01-06,주유소,신규등록,남상주농협주유소,경북 상주시 청리면 남상주로 1044,정,경상북도 상주시 남상주로 1044 (청리면),4725034023108940000,128.12546970534697,36.331498451420565
2015,2015-01-06,주유소,휴업,팔공산한마음주유소,대구광역시 동구 팔공산로283 (덕곡동),정,대구광역시 동구 팔공산로 283 (덕곡동),2714014400202050005,128.61640398054647,35.99141824465383
2015,2015-01-06,주유소,휴업,몽촌주유소,서울특별시 송파구 백제고분로475 (방이동),정,서울특별시 송파구 백제고분로 475 (방이동),1171011100101070008,127.11355014017762,37.512990364012424
2015,2015-01-06,주유소,휴업,삽교호주유소,충청남도 당진시 삽교천길88,유,충청남도 당진시 삽교천길 90-3 (신평면),4427038028101680000,126.82494641105393,36.88704547227897
2015,2015-01-06,주유소,휴업,태양주유소,부산광역시 부산진구 성지로60 (연지동),정,부산광역시 부산진구 성지로 60 (연지동),2623010600100070001,129.05494530773984,35.17600789206117
2015,2015-01-06,주유소,폐업,쇄노재주유소,전남 해남군 북평면 백도로 531,정,전라남도 해남군 백도로 531 (북평면),4682035027100010001,126.65524643041527,34.44718696035021
2015,2015-01-07,주유소,휴업,청산주유소,충청북도 옥천군 지전길8 (청산면),유,충청북도 옥천군 지전길 6 (청산면),4373035023102570015,127.79616405244174,36.34393939240018
2015,2015-01-08,주유소,휴업,종합주유소,울산광역시 중구 북부순환도로784 (남외동),정,울산광역시 중구 북부순환도로 784 (남외동),3111011500100180003,129.33981150080288,35.57478055282226
2015,2015-01-07,주유소,휴업,남부안농민회주유소,전북 부안군 보안면 청자로 1518,정,전북특별자치도 부안군 청자로 1518 (보안면),5280035026102800002,126.65454134650587,35.61053069786346
2015,2015-01-09,주유소,신규등록,능주농협주유소,전남 화순군 능주면 원지리 225-14외 2필지,정,전라남도 화순군 능주면 원지리 225-14,4679035032102250014,126.94910424646254,35.01270663439366
2015,2015-01-07,주유소,휴업,광남주유소,부산광역시 수영구 광남로83 (광안동),정,부산광역시 수영구 광남로 83 (광안동),2650010400101900001,129.11366164556713,35.149690149356616
2015,2015-01-07,주유소,휴업,드림(하나)주유소,경기도 고양시 일산서구 덕이로36 (덕이동),정,경기도 고양시 일산서구 덕이로 36 (덕이동),4128710500104750000,126.7554535935656,37.68968004860747
2015,2015-01-12,주유소,폐업,세화주유소,경상북도 경주시 금성로336 (서부동),정,경상북도 경주시 금성로 336 (서부동),4713010200100020029,129.2072153504098,35.84758858757988
2015,2015-01-12,주유소,휴업,SK네트웍스㈜ 옥천주유소,강원도 강릉시 율곡로2846 (옥천동),정,강원특별자치도 강릉시 율곡로 2846 (옥천동),5115010900101450000,128.89738981713887,37.758060338624674
2015,2015-01-07,주유소,휴업,남광석유판매㈜ 직영 중동주유소,경상남도 창원시 의창구 의안로27번길 19 (중동),정,경상남도 창원시 의창구 의안로27번길 19 (중동),4812110200106070000,128.6217977378518,35.263855997294606
2015,2015-01-12,주유소,휴업,중앙주유소,충청북도 단양군 단양로 2727 (매포읍),정,충청북도 단양군 단양로 2727 (매포읍),4380025334102010002,128.2702388015717,37.08287480021616
2015,2015-01-13,주유소,휴업,항만주유소,경기도 평택시 서동대로524 (포승읍,정,경기도 평택시 서동대로 524 (포승읍),4122025626104130011,126.875860741626,36.944808115993276
2015,2015-01-12,주유소,폐업,만남의주유소,전라북도 군산시 월명로59 (옥산면),유,전북특별자치도 군산시 월명로 58 (옥산면),5213031024109570010,126.71608902322966,35.948895425703355
2015,2015-01-14,주유소,휴업,열가재제3주유소,전라남도 보성군 녹색로4754 (조성면),정,전라남도 보성군 녹색로 4754 (조성면),4678037024102670000,127.26750261302509,34.83011550825202
2015,2015-01-12,주유소,폐업,해피데이주유소,광주광역시 서구 풍서우로94 (매월동),유,광주광역시 서구 풍서우로 120 (금호동),2914013000110550000,126.84896119985686,35.126683852947494
2015,2015-01-09,주유소,휴업,세화주유소,경상북도 경주시 금성로336 (서부동),정,경상북도 경주시 금성로 336 (서부동),4713010200100020029,129.2072153504098,35.84758858757988
2015,2015-01-15,주유소,폐업,강변주유소,경상북도 경주시 알천북로281 (동천동),유,경상북도 경주시 알천북로 279 (동천동),4713012600109130009,129.2285119603403,35.84645452097942
2015,2015-01-12,주유소,휴업,우리동네주유소,전라남도 광양시 제철로137 (광양읍),정,전라남도 광양시 제철로 137 (광양읍),4623025027103580004,127.60880093041561,34.95270424666954
2015,2015-01-14,주유소,휴업,공주대주유소,충청남도 공주시 무령로435 (신관동),정,충청남도 공주시 무령로 435 (신관동),4415012000100560002,127.14081643658815,36.4655375411872
2015,2015-01-16,주유소,휴업,연세석유안성동아대셀프주유소,경기도 안성시 서동대로6351 (삼죽면),정,경기도 안성시 서동대로 6351 (삼죽면),4155041027103290003,127.36733076073888,37.059157183719016
2015,2015-01-13,주유소,폐업,고려주유소,대전광역시 중구 문화로210 (문화동),정,대전광역시 중구 문화로 210 (문화동),3014011600102840031,127.4082455776937,36.31544652861862
